Date,ID_Product,Product_Name,Product_Price,Quantity,Total
1/1/2025,1,AIR BIASA,5000,0,0
1/1/2025,2,AIR MINERAL (BESAR),7000,14,98000
1/1/2025,3,AIR MINERAL (KECIL),5000,0,0
1/1/2025,4,ALVREDO PASTA,35000,0,0
1/1/2025,5,AMERICANO,27000,8,216000
1/1/2025,6,APPLE FIZ,25000,0,0
1/1/2025,7,APPLE TEA,21000,2,42000
1/1/2025,8,BANANAS COFFEE,28000,0,0
1/1/2025,9,BERRY TEA,21000,0,0
1/1/2025,10,BISCOFF BUTTER,28000,1,28000
1/1/2025,11,BLACKFOREST,28000,0,0
1/1/2025,12,BLUE PARADISE,23000,0,0
1/1/2025,13,BUTTERSCOTH LATTE,25000,11,275000
1/1/2025,14,CAKE VELVET,24000,1,24000
1/1/2025,15,CAPPUCINO,30000,0,0
1/1/2025,16,CARAMEL MACCHIATO,25000,0,0
1/1/2025,17,CHEESECAKE,26000,0,0
1/1/2025,18,CHESEECAKE LATTE,25000,2,50000
1/1/2025,19,CHICKEN KATSU,30000,0,0
1/1/2025,20,CHURROS,25000,1,25000
1/1/2025,21,CIRENG,18000,4,72000
1/1/2025,22,COFFEE LATTE,30000,4,120000
1/1/2025,23,COOKIES N CREAM,25000,1,25000
1/1/2025,24,CROFFLE ICE CREAM,26000,0,0
1/1/2025,25,DARK CHOCOLATE,24000,4,96000
1/1/2025,26,ESPRESSO,19000,0,0
1/1/2025,27,FRENCH FRIES,19000,3,57000
1/1/2025,28,FRIED RICE ERTHREE,28000,2,56000
1/1/2025,29,HAZELNUT LATTE,23000,4,92000
1/1/2025,30,JAPANESE CHICKEN CURRY,31000,1,31000
1/1/2025,31,JAVANESE,33000,0,0
1/1/2025,32,KEBAB,15000,1,15000
1/1/2025,33,KOPI CREAM,23000,10,230000
1/1/2025,34,LOVELY,25000,0,0
1/1/2025,35,LUMPIA,18000,3,54000
1/1/2025,36,LYCHEE TEA,21000,2,42000
1/1/2025,37,MANGO TEA,21000,1,21000
1/1/2025,38,MATCHA CLOUD,24000,3,72000
1/1/2025,39,MILO CREAM,25000,8,200000
1/1/2025,40,MIX PLATTER,27000,2,54000
1/1/2025,41,NAKTAMALA,27000,0,0
1/1/2025,42,PANDAN LATTE,23000,2,46000
1/1/2025,43,PEACH TEA,21000,0,0
1/1/2025,44,PEMPEK,20000,2,40000
1/1/2025,45,PICCOLO,27000,1,27000
1/1/2025,46,PISANG KEJU,20000,2,40000
1/1/2025,47,RICE BEEF BLACKPAPER,33000,1,33000
1/1/2025,48,RICE BEEF BULGOGI,33000,0,0
1/1/2025,49,RISOL MAYO,20000,0,0
1/1/2025,50,ROTI BAKAR,16000,0,0
1/1/2025,51,SEA SALTED CARAMEL LATTE,28000,1,28000
1/1/2025,52,SIGNATURE ERTHREE COFFEE,23000,21,483000
1/1/2025,53,SINGKONG,18000,2,36000
1/1/2025,54,SPAGHETTI BOLOGNESE,32000,1,32000
1/1/2025,55,SPAGHETTI BRULLE,32000,2,64000
1/1/2025,56,SWEET HONEY KARAGE,30000,2,60000
1/1/2025,57,TARO,24000,0,0
1/1/2025,58,TIRAMISSYOU LATTE,28000,0,0
1/1/2025,59,TROPICAL MANGO,23000,2,46000
1/1/2025,60,V60,30000,1,30000
1/1/2025,61,VANILA REGAL,24000,0,0
1/1/2025,62,VIETNAM DRIP,25000,0,0
1/2/2025,1,AIR BIASA,5000,0,0
1/2/2025,2,AIR MINERAL (BESAR),7000,12,84000
1/2/2025,3,AIR MINERAL (KECIL),5000,0,0
1/2/2025,4,ALVREDO PASTA,35000,0,0
1/2/2025,5,AMERICANO,27000,2,54000
1/2/2025,6,APPLE FIZ,25000,1,25000
1/2/2025,7,APPLE TEA,21000,0,0
1/2/2025,8,BANANAS COFFEE,28000,0,0
1/2/2025,9,BERRY TEA,21000,0,0
1/2/2025,10,BISCOFF BUTTER,28000,2,56000
1/2/2025,11,BLACKFOREST,28000,0,0
1/2/2025,12,BLUE PARADISE,23000,0,0
1/2/2025,13,BUTTERSCOTH LATTE,25000,5,125000
1/2/2025,14,CAKE VELVET,24000,0,0
1/2/2025,15,CAPPUCINO,30000,2,60000
1/2/2025,16,CARAMEL MACCHIATO,25000,5,125000
1/2/2025,17,CHEESECAKE,26000,0,0
1/2/2025,18,CHESEECAKE LATTE,25000,2,50000
1/2/2025,19,CHICKEN KATSU,30000,1,30000
1/2/2025,20,CHURROS,25000,1,25000
1/2/2025,21,CIRENG,18000,6,108000
1/2/2025,22,COFFEE LATTE,30000,1,30000
1/2/2025,23,COOKIES N CREAM,25000,1,25000
1/2/2025,24,CROFFLE ICE CREAM,26000,1,26000
1/2/2025,25,DARK CHOCOLATE,24000,1,24000
1/2/2025,26,ESPRESSO,19000,0,0
1/2/2025,27,FRENCH FRIES,19000,0,0
1/2/2025,28,FRIED RICE ERTHREE,28000,4,112000
